time,attack_type,risk_score,risk_level,source,event
2026-05-21 01:44:31.864707,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:31.864 E  ecosystemanalyticsd[53070:660b6c] (EcosystemAnalytics) EcosystemAnalytics.framework:RosettaCoordinator: getCodeSignatureInfo: SecStaticCodeCreate Failed url: <private>
2026-05-21 01:44:31.873047,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:31.872 Df ecosystemd[6857:660ad0] [com.apple.xpc:connection] [0x906c89400] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:31.873090,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:31.872 Df ecosystemd[6857:660ad0] [com.apple.xpc:connection] [0x906c89400] invalidated after a failed init
2026-05-21 01:44:31.875150,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:31.875 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:31.875193,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:31.875 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] invalidated after a failed init
2026-05-21 01:44:31.876362,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:31.876 E  ecosystemanalyticsd[53070:660b6c] (EcosystemAnalytics) EcosystemAnalytics.framework:RosettaCoordinator: getCodeSignatureInfo: SecStaticCodeCreate Failed url: <private>
2026-05-21 01:44:31.882178,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:31.882 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:31.882227,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:31.882 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] invalidated after a failed init
2026-05-21 01:44:31.893852,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:31.891 E  ecosystemanalyticsd[53070:660b6c] (EcosystemAnalytics) EcosystemAnalytics.framework:RosettaCoordinator: getCodeSignatureInfo: SecStaticCodeCreate Failed url: <private>
2026-05-21 01:44:31.927550,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:31.927 Df ecosystemd[6857:660ad0] [com.apple.xpc:connection] [0x906c89400] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:31.927644,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:31.927 Df ecosystemd[6857:660ad0] [com.apple.xpc:connection] [0x906c89400] invalidated after a failed init
2026-05-21 01:44:31.951262,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:31.951 Df ecosystemd[6857:660ad0] [com.apple.xpc:connection] [0x906c89400] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:31.951319,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:31.951 Df ecosystemd[6857:660ad0] [com.apple.xpc:connection] [0x906c89400] invalidated after a failed init
2026-05-21 01:44:31.966192,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:31.966 Df ecosystemd[6857:660ad0] [com.apple.xpc:connection] [0x906c89400] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:31.966241,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:31.966 Df ecosystemd[6857:660ad0] [com.apple.xpc:connection] [0x906c89400] invalidated after a failed init
2026-05-21 01:44:31.986196,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:31.986 Df ecosystemd[6857:660ad0] [com.apple.xpc:connection] [0x906c89400] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:31.986244,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:31.986 Df ecosystemd[6857:660ad0] [com.apple.xpc:connection] [0x906c89400] invalidated after a failed init
2026-05-21 01:44:32.001245,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:32.001 Df ecosystemd[6857:660ad0] [com.apple.xpc:connection] [0x906c89400] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:32.001295,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:32.001 Df ecosystemd[6857:660ad0] [com.apple.xpc:connection] [0x906c89400] invalidated after a failed init
2026-05-21 01:44:41.533496,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:41.533 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:41.533842,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:41.533 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] invalidated after a failed init
2026-05-21 01:44:41.574036,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:41.573 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:41.574155,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:41.574 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] invalidated after a failed init
2026-05-21 01:44:41.574809,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:41.574 Df ecosystemd[6857:660ad0] [com.apple.xpc:connection] [0x906c89400] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:41.574964,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:41.574 Df ecosystemd[6857:660ad0] [com.apple.xpc:connection] [0x906c89400] invalidated after a failed init
2026-05-21 01:44:41.576723,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:41.576 E  ecosystemd[6857:660ad0] (EcosystemAnalytics) EcosystemAnalytics.framework:RosettaCoordinator: getCodeSignatureInfo: SecStaticCodeCreate Failed url: <private>
2026-05-21 01:44:41.602142,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:41.601 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:41.602241,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:41.601 Df ecosystemd[6857:660ebd] [com.apple.xpc:connection] [0x906c89400] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:41.602295,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:41.601 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] invalidated after a failed init
2026-05-21 01:44:41.602328,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:41.602 Df ecosystemd[6857:660ebd] [com.apple.xpc:connection] [0x906c89400] invalidated after a failed init
2026-05-21 01:44:41.603170,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:41.602 E  ecosystemd[6857:660ebd] (EcosystemAnalytics) EcosystemAnalytics.framework:RosettaCoordinator: getCodeSignatureInfo: SecStaticCodeCreate Failed url: <private>
2026-05-21 01:44:41.626796,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:41.626 Df ecosystemd[6857:660ebd] [com.apple.xpc:connection] [0x906c89400] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:41.626896,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:41.626 Df ecosystemd[6857:660ebd] [com.apple.xpc:connection] [0x906c89400] invalidated after a failed init
2026-05-21 01:44:41.626942,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:41.626 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:41.626978,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:41.626 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] invalidated after a failed init
2026-05-21 01:44:41.627783,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:41.627 E  ecosystemd[6857:660ebd] (EcosystemAnalytics) EcosystemAnalytics.framework:RosettaCoordinator: getCodeSignatureInfo: SecStaticCodeCreate Failed url: <private>
2026-05-21 01:44:41.653099,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:41.652 Df ecosystemd[6857:660ad0] [com.apple.xpc:connection] [0x906c89400] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:41.653176,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:41.652 Df ecosystemd[6857:660ad0] [com.apple.xpc:connection] [0x906c89400] invalidated after a failed init
2026-05-21 01:44:41.653949,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:41.653 E  ecosystemd[6857:660ad0] (EcosystemAnalytics) EcosystemAnalytics.framework:RosettaCoordinator: getCodeSignatureInfo: SecStaticCodeCreate Failed url: <private>
2026-05-21 01:44:47.552639,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.552 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:47.552794,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.552 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] invalidated after a failed init
